Semana;java: (Todo el mundo);C++: (Todo el mundo);python: (Todo el mundo);c#: (Todo el mundo);javaScript: (Todo el mundo)
25/08/2019;60;19;68;24;25
1/09/2019;60;20;61;23;25
8/09/2019;60;21;63;24;26
15/09/2019;64;23;67;25;25
22/09/2019;63;22;66;26;25
29/09/2019;57;22;66;24;25
6/10/2019;59;22;65;24;25
13/10/2019;62;23;67;25;27
20/10/2019;63;22;63;24;24
27/10/2019;53;20;59;22;22
3/11/2019;59;22;66;23;25
10/11/2019;60;23;70;25;25
17/11/2019;63;23;72;25;27
24/11/2019;55;21;60;23;23
1/12/2019;57;21;65;23;25
8/12/2019;56;20;60;24;24
15/12/2019;53;19;62;23;24
22/12/2019;42;13;46;15;16
29/12/2019;38;12;45;14;16
5/01/2020;54;17;59;21;24
12/01/2020;54;18;62;22;24
19/01/2020;56;18;65;23;24
26/01/2020;58;19;63;23;24
2/02/2020;60;19;66;23;25
9/02/2020;57;19;69;24;26
16/02/2020;59;21;75;25;25
23/02/2020;59;22;70;24;25
1/03/2020;57;21;67;24;26
8/03/2020;53;19;63;23;24
15/03/2020;50;17;60;20;22
22/03/2020;50;18;61;19;21
29/03/2020;51;20;65;20;22
5/04/2020;51;19;64;20;23
12/04/2020;51;19;67;19;23
19/04/2020;54;18;69;20;24
26/04/2020;50;19;66;19;23
3/05/2020;49;19;64;19;23
10/05/2020;52;18;66;21;25
17/05/2020;49;19;65;20;23
24/05/2020;47;17;62;19;23
31/05/2020;51;18;62;19;23
7/06/2020;49;18;62;20;23
14/06/2020;48;17;65;21;25
21/06/2020;51;17;63;20;24
28/06/2020;49;16;61;20;23
5/07/2020;49;16;64;20;23
12/07/2020;51;17;66;21;25
19/07/2020;50;16;64;20;22
26/07/2020;48;16;64;20;24
2/08/2020;52;15;62;18;23
9/08/2020;50;16;61;19;22
16/08/2020;49;16;61;20;22
23/08/2020;48;16;59;19;22
30/08/2020;50;18;61;20;22
6/09/2020;50;18;63;20;23
13/09/2020;52;19;63;20;23
20/09/2020;49;19;65;20;23
27/09/2020;47;18;57;18;19
4/10/2020;47;19;58;19;20
11/10/2020;45;17;53;18;17
18/10/2020;49;17;57;18;18
25/10/2020;46;18;53;17;18
1/11/2020;41;16;48;16;16
8/11/2020;46;17;53;17;18
15/11/2020;44;17;54;17;17
22/11/2020;43;17;49;16;17
29/11/2020;42;17;53;17;18
6/12/2020;45;16;53;17;18
13/12/2020;44;15;52;17;17
20/12/2020;37;13;42;13;14
27/12/2020;34;12;38;11;12
3/01/2021;40;13;46;15;16
10/01/2021;43;15;50;16;17
17/01/2021;46;17;54;17;18
24/01/2021;44;16;49;16;17
31/01/2021;45;16;55;17;18
7/02/2021;44;15;54;16;17
14/02/2021;47;16;51;17;18
21/02/2021;49;18;55;18;18
28/02/2021;47;19;53;18;18
7/03/2021;46;18;55;18;18
14/03/2021;48;20;58;19;18
21/03/2021;48;18;56;17;18
28/03/2021;46;18;54;16;17
4/04/2021;46;18;54;16;17
11/04/2021;44;18;55;17;17
18/04/2021;49;18;58;17;18
25/04/2021;46;17;55;16;17
2/05/2021;46;17;52;16;17
9/05/2021;45;16;52;16;17
16/05/2021;46;18;55;17;18
23/05/2021;45;18;53;17;18
30/05/2021;46;18;50;17;17
6/06/2021;47;19;54;17;18
13/06/2021;45;16;53;17;17
20/06/2021;45;15;50;17;18
27/06/2021;44;14;51;16;17
4/07/2021;43;15;49;16;17
11/07/2021;46;14;51;16;19
18/07/2021;43;13;52;16;17
25/07/2021;42;14;48;17;17
1/08/2021;42;13;49;16;17
8/08/2021;44;14;47;15;17
15/08/2021;42;13;50;16;17
22/08/2021;43;14;49;15;17
29/08/2021;44;16;51;16;16
5/09/2021;44;17;53;17;17
12/09/2021;48;18;60;18;18
19/09/2021;47;18;58;17;19
26/09/2021;48;19;60;18;18
3/10/2021;47;20;59;18;19
10/10/2021;45;18;59;17;17
17/10/2021;50;20;63;19;19
24/10/2021;49;20;63;18;18
31/10/2021;44;18;59;16;17
7/11/2021;48;20;64;18;19
14/11/2021;49;21;66;19;19
21/11/2021;47;19;60;18;18
28/11/2021;48;20;62;18;19
5/12/2021;50;20;61;18;19
12/12/2021;51;20;60;18;19
19/12/2021;47;17;55;16;17
26/12/2021;38;14;46;13;15
2/01/2022;52;21;66;19;23
9/01/2022;55;23;72;20;24
16/01/2022;54;22;73;20;23
23/01/2022;58;24;81;21;27
30/01/2022;59;22;76;21;25
6/02/2022;63;25;83;24;29
13/02/2022;66;28;93;25;32
20/02/2022;65;27;87;23;29
27/02/2022;66;26;89;24;28
6/03/2022;64;30;89;23;30
13/03/2022;68;29;86;24;29
20/03/2022;65;31;94;24;32
27/03/2022;66;31;100;24;32
3/04/2022;65;28;93;24;32
10/04/2022;59;27;87;21;29
17/04/2022;61;29;91;23;30
24/04/2022;64;27;92;23;32
1/05/2022;59;25;86;22;31
8/05/2022;60;29;89;23;31
15/05/2022;61;27;86;22;31
22/05/2022;59;26;79;22;28
29/05/2022;56;24;80;21;28
5/06/2022;57;24;78;21;29
12/06/2022;58;23;81;22;29
19/06/2022;57;24;88;22;29
26/06/2022;53;22;79;21;28
3/07/2022;58;22;77;20;28
10/07/2022;56;22;80;20;28
17/07/2022;58;22;75;21;28
24/07/2022;56;23;77;21;28
31/07/2022;56;22;78;21;28
7/08/2022;54;22;77;20;28
14/08/2022;54;22;78;20;27
21/08/2022;56;25;83;20;27
28/08/2022;54;24;78;19;28
4/09/2022;56;25;80;20;27
11/09/2022;60;29;84;21;27
18/09/2022;65;29;85;22;30
25/09/2022;60;29;88;22;28
2/10/2022;56;25;86;21;27
9/10/2022;60;29;93;22;28
16/10/2022;61;29;89;22;29
23/10/2022;54;27;89;21;26
30/10/2022;58;27;91;21;27
6/11/2022;60;30;91;22;29
13/11/2022;63;30;94;22;30
20/11/2022;59;28;86;20;26
27/11/2022;56;27;86;21;28
4/12/2022;59;27;85;21;27
11/12/2022;56;26;86;21;28
18/12/2022;48;23;74;19;25
25/12/2022;45;19;62;15;22
1/01/2023;49;20;71;17;23
8/01/2023;53;22;82;21;27
15/01/2023;55;21;81;20;27
22/01/2023;54;23;85;20;27
